Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	50597
Aurantimonas_manganoxydans_SI85_9A1	5656
Conexibacter_woesei_Iso977N	52820
Desulfitibacter_alkalitolerans_DSM_16504	5735
Desulfuromonas_thiophila	48793
Flavobacterium_sp._SCGC_AAA160_P02	7807
Fluviicola_taffensis_DSM_16823	14119
Gaiella_occulta	33208
Geobacter_sulfurreducens_KN400	16651
Gracilibacteria_bacterium_JGI_0000069_P22	0
Magnetococcus_marinus_MC_1	5207
Marinomonas_communis	114339
Methylobacter_sp._XLMV4	31799
Mollicutes_bacterium_HR1	0
Neisseria_sp._CSL_7565	2838
Nitrospina_gracilis	63269
Nitrospina_sp._SCGC_AAA288_L16	37222
Oceanicola_granulosus_HTCC2516	29780
Owenweeksia_hongkongensis_DSM_17368	27184
Paracoccus_aminophilus	5280
Porticoccus_hydrocarbonoclasticus_MCTG13d	1313
Pseudoruegeria_aquimaris	117721
Roseobacter_sp._SK209_2_6	6503
Shewanella_amazonensis_SB2B	3726
Simiduia_sp._J_MY2	90933
Sphingobium_fuliginis	38466
Streptomyces_cyaneogriseus_subsp._noncyanogenus	18272
Sulfitobacter_sp._NAS_14.1	4573
Synechococcus_sp._KORDI_49	6021
Syntrophus_aciditrophicus	9594
Tenacibaculum_skagerrakense	28186
Thioalkalivibrio_sp._ALJ17	331423
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	331423
Thiohalobacter_thiocyanaticus	503230
Ulvibacter_litoralis	35573
Xanthomonas_citri_subsp._malvacearum	5212
alpha_proteobacterium_BAL199	69245
endosymbiont_of_Ridgeia_piscesae	937247
gamma_proteobacterium_SCGC_AB_629_P17	0
marine_gamma_proteobacterium_HTCC2080	49761
marine_metagenome	3858
mine_drainage_metagenome	-
